query,match,comments
"Diplazium yinchanianum Zi Y.Liu, H.J.Wei & Y.H.Yan","Diplazium yinchanianum Zi Yue Liu, H.J.Wei & Y.H.Yan",NA
Doodia linearis T.Moore,Doodia linearis C.Moore,NA
Doodia lyoni O.Deg.,Doodia lyonii Degen.,NA
Dryopteris atrovirens C. Chr.,Dryopteris atrovirens C.Chr.apud Christ,NA
Dryopteris christensenae (Ching) Li Bing Zhang,Dryopteris christenseniae (Ching) Li Bing Zhang,NA
Dryopteris fatuhivensis E.D.Br.,Dryopteris fatuhivensis E.Brown,NA
Dryopteris holttumii Li Bing Zhang,Dryopteris × holttumii Li Bing Zhang,NA
Dryopteris labordei var. purpurascens (H.Ito) Seriz.,Dryopteris labordei var. purpurascens (H.Ito) S.Sherizawa,NA
Dryopteris quaylei E.D. Br.,Dryopteris quaylei E.Brown,NA
Dryopteris redactopinnata S.K. Basu & Panigrahi,Dryopteris redactopinnata Soumen K.Basu & Panigrahi,NA
Dryopteris remotepinnata Hayata,Dryopteris remotipinnata Hayata,NA
Dryopteris shiroumensis Kurata & Nakam.,Dryopteris shiroumensis Sa.Kurata & Nakam.,NA
Dryopteris sichotensis Kom.,Dryopteris sichotensis Komarov,NA
"Dryopteris sororia (Maxon) M. McHenry, Sundue & Barrington","Dryopteris sororia (Maxon) M.A.McHenry, Sundue & Barrington",NA
Dryopteris subbipinnata W.H. Wagner & Hobdy,Dryopteris subbipinnata W.H.Wagner & R.W.Hobdy,NA
Dryopteris subreflexipinna Ogata,Dryopteris subreflexipinna M.Ogata,NA
Dryopteris x makabensis Ka.Yamam. & N.Murak.,Dryopteris × makabensis Kaor.Yamam. & N.Murak.,NA
Elaphoglossum affine (M.Martens & Galeotti) T.Moore,Elaphoglossum affine (M.Martens & Galeotti) Moore.,NA
Elaphoglossum backhousianum T.Moore,Elaphoglossum backhouseanum T.Moore,NA
Elaphoglossum coriaceum Bonap.,Elaphoglossum coriaceum Bonaparte,NA
Elaphoglossum dussii Underw. ex Maxon,Elaphoglossum dussii Underw. & Maxon,NA
Elaphoglossum nervosum (Bory) Christ,Elaphoglossum nervosum C.Chr.,NA
Elaphoglossum nidiforme Mickel,Elaphoglossum nidiformis Mickel,NA
Elaphoglossum peltatum f. peltatum,Elaphoglossum peltatum (Sw.) Urb.,NA
Elaphoglossum vestitum (Schltdl. & Cham.) T.Moore,Elaphoglossum vestitum (Schltdl. & Cham.) Schott,NA
Equisetum x fontqueri Rothm.,Equisetum font-queri Rothm.,NA
Equisetum x litorale Kuehlew. ex Rupr.,Equisetum × litorale Kühlew. ex Rupr.,NA
Gaga angustifolia (Kunth) F.W.Li & Windham,Gaga angustifolia (Kunth) Fay W.Li & Windham,NA
Gaga marginata (Kunth) F.W.Li & Windham,Gaga marginata (Kunth) Fay W.Li & Windham,NA
Goniophlebium amoenum (Wall. ex Mett.) Bedd.,Goniophlebium amoenum (Wall. ex Mett.) J.Sm. ex Bedd.,NA
Goniophlebium mengtzeense (Christ) Rodl-Linder,Goniophlebium mengtzeense (Christ) G.Roedl-Linder,NA
Goniophlebium percussum (Cav.) Wagner & Grether,Goniophlebium percussum (Cav.) W.H.Wagner & Grether,NA
Gymnocarpium x brittonianum (Sarvela) Pryer & Haufler,Gymnocarpium × brittonianum (Sarvela) K.M.Pryer & Haufler,NA
Gymnosphaera phlebodes (Lehnert & Coritico) S.Y.Ng,Gymnosphaera phlebodes (Lehnert & Coritico) S.Y.Dong,NA
"Haplopteris heterophylla C.W.Chen, Y.H.Chang & Y.C.Liu","Haplopteris heterophylla C.W.Chen, Y.H.Chang & Yea C.Liu",NA
Hemionitis ekmanii Maxon,Hemionitis ekmanii (Maxon) Christenh.,NA
Hiya brooksiae (Alderw.) Hui Shang,Hiya brooksiae (Alderw.) H.Shang,NA
Hiya nigrescens (Hook.) Hui Shang,Hiya nigrescens (Hook.) H.Shang,NA
Hiya scabristipes (Brownsey) Hui Shang,Hiya scabristipes (Brownsey) H.Shang,NA
"Hymenasplenium quangnamense Li Bing Zhang, K.W.Xu & Liang Zhan","Hymenasplenium quangnamense Li Bing Zhang, K.W.Xu & Liang Zhang",NA
"Hymenasplenium tholiformis Liang Zhang, W.B.Ju & K.W.Xu","Hymenasplenium tholiforme Liang Zhang, W.B.Ju & K.W.Xu",NA
Hymenophyllum apiculatum Mett.,Hymenophyllum apiculatum Mett.; Kuhn,NA
Hymenophyllum deplanchei Mett.,Hymenophyllum deplanchei Mett.; Kuhn,NA
Hymenophyllum devolii Lai,Hymenophyllum devolii M.J.Lai,NA
Hymenophyllum dimidiatum Mett.,Hymenophyllum dimidiatum Mett.; Kuhn,NA
Hymenophyllum magellanicum Willd. ex Kunze,Hymenophyllum magellanicum Willd.; Kze.,NA
Hymenophyllum pumilum T.Moore,Hymenophyllum pumilum C.Moore; Bak.,NA
Hymenophyllum rufum Fee Fee,Hymenophyllum rufum Fée,NA
Hymenophyllum schomburgkii C.Pres,Hymenophyllum schomburgkii C.Presl,NA
Hypodematium angustifolium C.S.Lee & K.Lee,Hypodematium angustifolium C.S.Lee & K.H.Lee,NA
Hypolepis viscosa H.Karst.,Hypolepis viscosa (H.Karst.) Mett.,NA
Jamesonia laxa Mett.,Jamesonia laxa Kunze,NA
